Region_code,Region_label,Urban_code,Urban_label,UrbanType,Area_code,Area_label,Population,Victimisations,Rate
13,Canterbury,22,Christchurch,Main,587849,Trents-Ladbrooks,2020,2,0.2
4,BayofPlenty,104,Whakatane,Secondary,542430,Trident,3350,34,1.9
13,Canterbury,502,Rural (Incl.some Off Shore Islands),Rural,586129,Tuahiwi,1210,1,0.2
6,Hawke'sBay,501,Rural Centre,Rural,545201,Tuai,220,2,1.7
3,Waikato,101,Pukekohe,Secondary,526200,Tuakau,4630,28,1.2
18,Marlborough,502,Rural (Incl.some Off Shore Islands),Rural,580448,Tuamarina,1170,3,0.5
14,Otago,502,Rural (Incl.some Off Shore Islands),Rural,607502,Tuapeka,1640,1,0.1
15,Southland,501,Rural Centre,Rural,612500,Tuatapere,570,2,0.7
2,Auckland,2,Northern Auckland Zone,Main,509702,Tuff Crater,4790,37,1.5
2,Auckland,5,Southern Auckland Zone,Main,523202,Turanga,2350,2,0.2
3,Waikato,237,Turangi,Minor,541000,Turangi,3220,35,2.1
8,Manawatu-Wanganui,502,Rural (Incl.some Off Shore Islands),Rural,561902,Turitea,1980,5,0.5
3,Waikato,502,Rural (Incl.some Off Shore Islands),Rural,533902,Turua,1350,1,0.1
6,Hawke'sBay,502,Rural (Incl.some Off Shore Islands),Rural,545911,Tutira,610,1,0.3
9,Wellington,502,Rural (Incl.some Off Shore Islands),Rural,579802,Tuturumuri,410,0,
13,Canterbury,287,Twizel Community,Minor,600100,Twizel Community,1210,5,0.8
6,Hawke'sBay,13,Hastings Zone,Main,545710,Twyford,1080,7,1.2
3,Waikato,6,Hamilton Zone,Main,530500,University,6270,29,0.9
2,Auckland,2,Northern Auckland Zone,Main,508803,Unsworth Heights,6110,12,0.4
